,client_fk,Client_Name,contact_fk,unique_id,phone_number
0,1145,Sri Vaishnavi Diagnostics And Scanning Centre,0,5C0404,
1,1145,Sri Vaishnavi Diagnostics And Scanning Centre,6343,5C0404,
2,1145,Sri Vaishnavi Diagnostics And Scanning Centre,324,5C0404,9154821762
3,1145,Sri Vaishnavi Diagnostics And Scanning Centre,3769,5C0404,
4,1145,Sri Vaishnavi Diagnostics And Scanning Centre,15761,5C0404,9963740790
5,1145,Sri Vaishnavi Diagnostics And Scanning Centre,11713,5C0404,7893265303
6,3795,Gunjan Diagnostic,0,5C3413,
7,3795,Gunjan Diagnostic,15340,5C3413,+91-7004549445
8,3795,Gunjan Diagnostic,15866,5C3413,6206099975
9,3795,Gunjan Diagnostic,15350,5C3413,9835653369
10,3795,Gunjan Diagnostic,15339,5C3413,+91-9835653369
11,3795,Gunjan Diagnostic,15347,5C3413,8789573665
12,3795,Gunjan Diagnostic,15348,5C3413,7004549445
13,3795,Gunjan Diagnostic,15349,5C3413,6202388021
14,3795,Gunjan Diagnostic,15338,5C3413,+91-6202388021
15,3795,Gunjan Diagnostic,15341,5C3413,8789573665
16,3795,Gunjan Diagnostic,15351,5C3413,9835653369
17,2764,Gayatri Pathology & X-ray Centre,0,5C2430,
18,2764,Gayatri Pathology & X-ray Centre,15913,5C2430,9451335716
19,2764,Gayatri Pathology & X-ray Centre,1705,5C2430,
20,2764,Gayatri Pathology & X-ray Centre,13339,5C2430,9598311067
21,2764,Gayatri Pathology & X-ray Centre,2660,5C2430,
22,2764,Gayatri Pathology & X-ray Centre,10459,5C2430,9451335716
23,2764,Gayatri Pathology & X-ray Centre,5154,5C2430,
24,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,0,5C1501,
25,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,8280,5C1501,
26,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,11445,5C1501,9734300282
27,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,7623,5C1501,
28,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,11448,5C1501,9775990202
29,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,11106,5C1501,9775996048
30,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,14473,5C1501,9775996693
31,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,3723,5C1501,
32,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,11105,5C1501,9775990233
33,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,6296,5C1501,
34,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,11597,5C1501,8972642267
35,2406,Patna Diagnostic Center,0,5C2106,
36,2406,Patna Diagnostic Center,14845,5C2106,9852843917
37,2406,Patna Diagnostic Center,5881,5C2106,
38,2406,Patna Diagnostic Center,10362,5C2106,6204353139
39,2406,Patna Diagnostic Center,11230,5C2106,9835447780
40,2406,Patna Diagnostic Center,4349,5C2106,
41,2406,Patna Diagnostic Center,11121,5C2106,8084752711
42,2406,Patna Diagnostic Center,3315,5C2106,
43,2406,Patna Diagnostic Center,10361,5C2106,8294665971
44,216,SG Hospital,0,5C1044,
45,216,SG Hospital,3582,5C1044,
46,216,SG Hospital,1826,5C1044,
47,216,SG Hospital,15397,5C1044,8660375612
48,216,SG Hospital,1139,5C1044,+91-8660375612
49,3016,Mother's Care Children Hospital & Research Centre,0,5C2662,
50,3016,Mother's Care Children Hospital & Research Centre,15484,5C2662,9615943062
51,3016,Mother's Care Children Hospital & Research Centre,12227,5C2662,9774106041
52,3016,Mother's Care Children Hospital & Research Centre,8664,5C2662,9774388907
53,1223,Pinarc Health Imaging CT Scan Centre,0,5C3292,
54,1223,Pinarc Health Imaging CT Scan Centre,14277,5C3292,8878298285
55,1223,Pinarc Health Imaging CT Scan Centre,14276,5C3292,+91-7049960849
56,1223,Pinarc Health Imaging CT Scan Centre,14275,5C3292,+91-9953033413
57,1223,Pinarc Health Imaging CT Scan Centre,14278,5C3292,7024076595
58,1223,Pinarc Health Imaging CT Scan Centre,15669,5C3292,9630133026
59,1223,Pinarc Health Imaging CT Scan Centre,14304,5C3292,9953033413
60,1223,Pinarc Health Imaging CT Scan Centre,14303,5C3292,8878298285
61,3474,Hindusthan Hospital,0,5C3090,
62,3474,Hindusthan Hospital,10238,5C3090,9342321955
63,3474,Hindusthan Hospital,10237,5C3090,9944690498
64,3474,Hindusthan Hospital,10236,5C3090,9600339556
65,3474,Hindusthan Hospital,10235,5C3090,6382332688
66,3474,Hindusthan Hospital,10228,5C3090,9361694441
67,3474,Hindusthan Hospital,10233,5C3090,9626452566
68,3474,Hindusthan Hospital,10230,5C3090,+91-9786662157
69,3474,Hindusthan Hospital,10231,5C3090,
70,3474,Hindusthan Hospital,10232,5C3090,
71,3474,Hindusthan Hospital,10834,5C3090,4224327777
