,client_fk,client_name,onboarded_date,case_receiving_date,client_source,total_case,Within_TAT,tat_breach
48,1145,Sri Vaishnavi Diagnostics And Scanning Centre,2019-01-29,2024-11-06,,1,1,0
53,3795,Gunjan Diagnostic,2024-09-03,2024-10-13,Nikhil Hugar,5,3,2
61,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-11-07,,3,3,0
73,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,2021-03-02,2024-10-16,,24,24,0
103,2406,Patna Diagnostic Center,2021-12-09,2024-10-22,Joel Elijah,4,4,0
105,216,SG Hospital,2020-01-31,2024-10-31,,1,1,0
110,3016,Mother's Care Children Hospital & Research Centre,2023-04-06,2024-10-16,5C Admin (Vaishak),1,1,0
139,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-15,Nikhil Hugar,3,3,0
154,3474,Hindusthan Hospital,2023-11-24,2024-10-31,Amith,2,2,0
215,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-11-08,Abhisankar Biswal and Mukta Nandi,3,3,0
221,2742,RV Kani Lab,2022-08-01,2024-10-23,,1,1,0
238,3733,A R Diagnostics,2024-08-22,2024-10-21,Joel Elijah,1,1,0
243,1037,Jupiter Lifeline Hospital,2019-05-22,2024-11-09,,3,0,3
280,2742,RV Kani Lab,2022-08-01,2024-10-16,,1,1,0
313,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-11-04,Rajendra Prasad and Nithin Bharadhwaj,2,2,0
330,3637,Maruti Diagnostics,2024-04-12,2024-11-01,Joel Elijah,1,1,0
339,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-12,,5,5,0
359,1954,Patidar Diagnostic,2021-06-16,2024-10-29,,2,2,0
374,757,Utkarsh Scan Centre,2019-02-23,2024-11-08,Amith,2,2,0
415,2406,Patna Diagnostic Center,2021-12-09,2024-11-06,Joel Elijah,2,1,1
419,3800,Cadabams Megsan Diagnostics,2024-09-05,2024-10-21,Nithin Bharadhwaj and Joel Elijah,1,1,0
469,380,Pulse Diagnostics - Berhampore,2018-05-11,2024-10-23,,1,1,0
499,2029,Mudalagi CT Scan Centre,2024-07-01,2024-11-05,Rajendra Prasad,1,0,1
533,380,Pulse Diagnostics - Berhampore,2018-05-11,2024-11-08,,2,2,0
540,1399,Oriental Diagnostic Centre,2020-07-04,2024-10-29,,1,1,0
554,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-15,,1,1,0
569,3447,Bansal Hospital Sagar,2023-10-20,2024-10-29,Mahesh Salian,3,1,2
647,2606,Tatwadarsha Hospital,2022-05-10,2024-10-20,,2,2,0
664,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-19,Nikhil Hugar,2,2,0
678,754,Parkmed Healthcare,2017-08-09,2024-10-17,,2,2,0
686,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-27,,26,18,8
694,3733,A R Diagnostics,2024-08-22,2024-11-07,Joel Elijah,2,2,0
716,2708,Samruddhi Diagnostic Center,2022-07-11,2024-11-09,,1,1,0
738,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-28,,2,2,0
835,3474,Hindusthan Hospital,2023-11-24,2024-11-08,Amith,1,0,1
843,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-29,,3,1,2
877,3705,Dorika Hospital - Assam,2024-06-28,2024-10-16,Mahesh Salian,2,1,1
903,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-21,Mahesh Kumar G,2,2,0
980,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-14,,3,2,1
1005,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,2024-09-04,2024-10-24,Sathish Jalari,1,1,0
1022,3784,Guru Hospital,2024-08-23,2024-10-28,Apoorv L Salehittal,2,1,1
1041,3467,Ashirwad Clinic And Diagnostic Centre ,2023-11-21,2024-11-03,Nikhil Hugar,2,1,1
1062,2137,Anirish Orthopedic Clinic,2021-08-25,2024-10-13,,2,2,0
1064,3736,Ratan Ultrasound Center,2024-08-09,2024-10-13,Sunil Malik and Akshat Misra,13,12,1
1103,1032,Camberwell Diagnostic Center,2024-09-13,2024-11-01,Nikhil Hugar,1,1,0
1139,1435,Chaudhari Diagnostics,2020-08-14,2024-10-16,,1,1,0
1143,2459,Agarwal Nursing Home,2022-01-03,2024-10-25,,7,5,2
1168,1669,Suvidha Digital X-ray,2021-01-27,2024-10-19,,2,2,0
1178,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-10-15,,2,2,0
1181,3234,Megsan Diagnostics - Siddartha Hospital,2023-06-07,2024-10-15,5C Admin (Vaishak),1,1,0
1207,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-11-06,,2,2,0
1232,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-20,,2,2,0
1239,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-11-08,Anil Kumar and Saravan Choudhary,2,2,0
1247,3589,Myo Healthcare,2024-02-29,2024-10-17,Mahesh Kumar G,1,1,0
1260,3310,Raksha  Health Care,2023-08-18,2024-10-16,Amith,2,2,0
1312,3730,Yashashvi Hospital,2024-08-01,2024-10-24,Sunil,1,1,0
1334,3705,Dorika Hospital - Assam,2024-06-28,2024-10-23,Mahesh Salian,1,1,0
1353,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-11-06,Jaya Mohan and Balaganesh A,1,1,0
1412,581,RR Diagnostics,2017-08-28,2024-10-29,,1,1,0
1420,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-19,,3,3,0
1444,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-11-05,,4,3,1
1453,3005,Cosmos Health Care,2023-03-30,2024-10-18,5C Admin (Sathish),2,2,0
1489,3552,St.Isabel's Hospital,2024-02-01,2024-11-04,Yesu Samuels ,1,1,0
1621,2366,Surakshaa Hospital,2021-11-25,2024-10-25,,3,3,0
1761,1506,Krishna Hospital & Research Center,2020-10-09,2024-10-22,,7,6,1
1810,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-10-25,Podugu Bhanuprakash,1,1,0
1816,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-10-28,5C Admin (Vaishak),3,3,0
1828,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-18,,2,2,0
1836,3673,Tambo Salud,2024-05-09,2024-10-29,Vaishak Shivadasan,1,1,0
1841,3570,Medicover Multi Speciality Hospitals Pune ,2024-04-22,2024-10-19,Nikhil Hugar,2,0,2
1860,2782,Apex Diagno Solution,2022-09-20,2024-10-19,,9,9,0
1962,3784,Guru Hospital,2024-08-23,2024-10-25,Apoorv L Salehittal,6,4,2
2014,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-07,,4,2,2
2035,2145,Anjali Pathology,2021-08-28,2024-10-22,,2,0,2
2086,3439,Nigerian Lebanese International Hospital,2023-10-13,2024-10-21,Mahesh Salian,2,2,0
2101,2737,Safe Diagnostic,2022-07-25,2024-11-03,,1,0,1
2145,1954,Patidar Diagnostic,2021-06-16,2024-10-24,,3,3,0
2170,3819,Yolo Healthcare,2024-09-22,2024-10-14,,3,3,0
2179,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-13,,8,3,5
2191,3589,Myo Healthcare,2024-02-29,2024-10-28,Mahesh Kumar G,3,3,0
2206,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-23,,1,1,0
2275,3501,Numedisure Gaurav Hospital,2023-12-30,2024-10-27,Nikhil Hugar,1,1,0
2285,1551,Public Labs,2020-11-10,2024-11-05,,1,1,0
2290,596,Micro Lab & Digital X-ray,2019-05-08,2024-10-25,,4,4,0
2318,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-11-06,5C Admin (Vaishak),1,1,0
2344,3332,Saikrupa Clinic,2023-09-05,2024-10-14,Abhilash ,1,1,0
2395,2947,Fortis Hospital - Cunningham Road,2023-02-24,2024-10-23,,1,1,0
2465,2029,Mudalagi CT Scan Centre,2024-07-01,2024-10-25,Rajendra Prasad,1,1,0
2523,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-11-07,,1,0,1
2563,3133,BRS Hospital - Unit Of Neuberg,2023-05-22,2024-10-13,5C Admin (Sathish),3,3,0
2574,1979,Shri Balaji 4th Generation MRI & Diagnostic Center,2021-07-05,2024-11-06,Mahesh Salian,5,4,1
2592,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-22,,2,0,2
2679,2986,Little Clinic,2023-03-17,2024-11-09,,1,0,1
2701,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-18,5C Admin (Vaishak),2,2,0
2718,269,Reshama X-ray And Pathology Centre,2020-03-08,2024-10-29,,1,1,0
2722,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-26,Mahesh Kumar G,4,4,0
2774,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-10-17,Abhilash Bharathan and Balaganesh A,2,2,0
2794,2054,Imperial Hospital,2021-08-07,2024-10-20,,4,3,1
2812,3293,San Camilo,2021-10-20,2024-10-30,Vaishak Shivadasan,30,30,0
2815,3811,Annai Amaravathi CT Scan & Lab - Tirunelveli,2024-09-13,2024-11-08,Ayyappan Nagarajan and Balaganesh A,3,1,2
2858,1539,HTS Digital X-ray - U2,2020-10-29,2024-11-08,,3,3,0
2875,1539,HTS Digital X-ray - U2,2020-10-29,2024-10-23,,1,1,0
2887,3310,Raksha  Health Care,2023-08-18,2024-10-24,Amith,4,3,1
2927,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-11-03,Anil Kumar and Saravan Choudhary,1,1,0
2941,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-27,,1,1,0
3007,3256,NKG Diagnostic,2023-07-08,2024-10-17,5C Admin (Dhiren Lohar),7,6,1
3042,1944,Pandian Multispeciality Hospital,2021-06-10,2024-11-02,,1,1,0
3046,3658,Sri Jayadeva Institute Of Cardiovascular Sciences & Research - Mysore,2024-04-29,2024-11-09,Mahesh Salian,1,1,0
3048,380,Pulse Diagnostics - Berhampore,2018-05-11,2024-10-19,,1,1,0
3079,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-10-27,Jaya Mohan and Balaganesh A,3,3,0
3101,3529,Meditrina Hospitals - Kollam,2024-09-18,2024-10-29,Abhilash Bharathan and Balaganesh A,3,1,2
3139,3293,San Camilo,2021-10-20,2024-11-08,Vaishak Shivadasan,28,17,11
3159,254,Siddaganga Diagnostic Center,2016-10-18,2024-10-17,,1,1,0
